Tweet,Replies,Reposts,Likes,Bookmarks,Posted,Username,UserDescription,UserProfessionalCategory,UserUrl,UserJoinDate
Pa kdo si ti @LukaMesec da boš predstavnikoma narodnosti razlagal kako morata glasovati?,34.0,81.0,560.0,,2021-03-29T20:02:54.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
"Ko boste naslednjič ugotavljali, da se v sloveniji ruši sistem inštitucij se spomnite odgovora @sarecmarjan predsedniku @BorutPahor. To je klasičen primer rušenja inštitucije, ker imamo pomisleke glede njegovega dela. Žalostno in prezira vredno dejanje.",32.0,108.0,539.0,2.0,2021-02-01T18:17:28.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
"Fides ima prav, da ni prišel v #Tarča, če je vabljen Jenull.",12.0,75.0,544.0,1.0,2024-02-29T19:58:08.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
Jesus makes everything possible in my life..! #JesusLovesMe,,,,,2020-12-22T16:28:15.000Z,P Beneban Sujil@pbsujil,,,,Joined October 2010
"Isaiah 6:8 I heard the voice of the Lord saying, “Whom shall I send, and who will go for us?” Then I said, “Here I am! Send me!",2.0,2.0,18.0,,2016-03-29T22:54:17.000Z,Abigail@abzbrigrier,"Humans are flawed, Jesus is not. Enjoy His Grace, Extend His Glory. Wife, Mom, Psych student. Chronically ill and mentally spicy.",,,Joined December 2013
Megan thee stallion breath control crazy wtffff. She be doing full out choreography and still be sounding like the studio version,66.0,3837.0,46423.0,496.0,2022-03-18T21:26:19.000Z,TDM@Trapdollazmanny,B!TCH I’M BLACK FT. BUTCH DAWSON OUT NOW!  Trapdollazmanny@gmail.com,Musician,linktr.ee/Trapdollazmanny,Joined June 2009
This the same thing as saying no homo before eating a hot dog lmao childish,23.0,331.0,6438.0,34.0,2021-09-27T19:23:06.000Z,TDM@Trapdollazmanny,B!TCH I’M BLACK FT. BUTCH DAWSON OUT NOW!  Trapdollazmanny@gmail.com,Musician,linktr.ee/Trapdollazmanny,Joined June 2009
lmao niggas be like “i am not fruity... but this album ain’t bad ”,16.0,152.0,5287.0,39.0,2021-09-27T19:22:18.000Z,TDM@Trapdollazmanny,B!TCH I’M BLACK FT. BUTCH DAWSON OUT NOW!  Trapdollazmanny@gmail.com,Musician,linktr.ee/Trapdollazmanny,Joined June 2009
We met once,100.0,630.0,10877.0,9.0,2018-06-28T15:57:05.000Z,Jesse Heiman@JesseHeiman,security guard at CSC. Actor. GoDaddy and Planters Super Bowl Ad guy. I have Klinefelters/type2 diabetes. http://JesseHeiman.net,Entertainment & Recreation,jesseheiman.net,Joined March 2009
I only did what @michaelbay directed me to do :),25.0,74.0,4204.0,32.0,2020-04-06T22:48:02.000Z,Jesse Heiman@JesseHeiman,security guard at CSC. Actor. GoDaddy and Planters Super Bowl Ad guy. I have Klinefelters/type2 diabetes. http://JesseHeiman.net,Entertainment & Recreation,jesseheiman.net,Joined March 2009
Thanks for your support #StaySafe https://x.com/nickusen/statu/nickusen/status/1247225748404002817…,12.0,182.0,2067.0,17.0,2020-04-06T18:51:47.000Z,Jesse Heiman@JesseHeiman,security guard at CSC. Actor. GoDaddy and Planters Super Bowl Ad guy. I have Klinefelters/type2 diabetes. http://JesseHeiman.net,Entertainment & Recreation,jesseheiman.net,Joined March 2009
"There are no words for how much I ADORE THIS WOMAN, and how HAPPY this made me.  #QueenBaranski",9.0,13.0,141.0,4.0,2018-05-09T17:30:50.000Z,alorak@KarolaLocksley,Christine Baranski called me A Lovely Young Woman,,merylisoneofakind.tumblr.com,Joined May 2010
November dump .. I know you missed my face,3.0,7.0,,,2022-11-30T18:21:00.000Z,Fey@Lyshpahh,Monday night is gay night!,,,Joined September 2011
I graduated college this morning and had a French fry sword fight with my little cousin at dinner tonight. #NewDegreeSameMe,16.0,,,,2017-05-07T01:18:02.000Z,Brittany James@BritNic19,The people who are crazy enough to think they can change the world are the ones who do | KΔ,,,Joined July 2012
"""My name is Tyler Simms, and I am a Son of IpsWich."" 

-Warlock 

-Originated from the colony of Ipswich and one of the five families that survived the witch trials. 
-Retweet",1.0,12.0,10.0,1082.0,2024-03-13T11:11:11.000Z,Tyler Simms@IpswichWarlock,One of the F I V E SONS of Ipswich. Warlock.,,thecovenantfilm.fandom.com/wiki/Tyler_Sim…,Joined April 2021
“I can do all things through Christ who strengthens me”,1.0,9.0,21.0,,2018-02-13T05:58:54.000Z,Bann@Bann_Dot,UK T&F. Today is like every other day just listening while looking for new possibilities it seems endless don't ever loose sight of hope. #Stesh/#Sade !@!~,,,Joined May 2013
"Surrendered easily! Today's #INDvPAK showed once and for all ki ""BAAP, BAAP HOTA HAI!""
K L Rahul, what a comeback! Virat Kohli was stunning! Must say, BOOM BOOM BUHRAH is phenomenal! Everyone played well!",15.0,107.0,766.0,5.0,2023-09-11T17:55:32.000Z,Dr. Rahul Patil (Modi ka Parivar)@raahulworld2009,Supports @narendramodi and by that extension #BJP. Hates #AAP and #Congress. Tweets in free time. Proud of Indian diversity. Marathi,,,Joined July 2009
Key note speaker. Bubble tea drinker.,2.0,,,,2022-09-28T09:46:10.000Z,jojoko@jojoko,"Key note speaker  , boba tea drinker",,,Joined March 2007
¡Jesús! Que Death Stranding les aburre. Que Pokémon está “incompleto”. Que Fallen Order se fue demasiado a la segura. ¿Seguros que esto es para ustedes? Porque no  mejor se van a ver series miadas y nos dejan en paz disfrutar nuestros juegos.,152.0,175.0,1000.0,,2019-11-15T15:43:51.000Z,Alberto Desfassiaux@AlbertoDefa,"Director Editorial de @atomix. Videojuegos, cine y cómics. Adoro hablar de aviones y a los NYY.",,atomix.vg,Joined March 2009
Sin duda el punto más alto de mi carrera. Sacrificios y mucho trabajo sí dan frutos. Pronto les cuento a detalle todo lo que nos dijo este verdadero genio de nuestra era.,68.0,39.0,958.0,1.0,2019-06-12T21:44:55.000Z,Alberto Desfassiaux@AlbertoDefa,"Director Editorial de @atomix. Videojuegos, cine y cómics. Adoro hablar de aviones y a los NYY.",,atomix.vg,Joined March 2009
"No, gamer no. MANIACO

Te vamos a extrañar, Gus.",11.0,45.0,866.0,,2020-04-11T17:55:09.000Z,Alberto Desfassiaux@AlbertoDefa,"Director Editorial de @atomix. Videojuegos, cine y cómics. Adoro hablar de aviones y a los NYY.",,atomix.vg,Joined March 2009
"mosh pit during blood on the leaves, great idea",1.0,7.0,,,2015-09-29T08:10:03.000Z,Nathan Sevilla@nateswellvilla,max farted!,,,Joined June 2009
ٹکٹ نہيں ملا کوئی بات نہيں ، ووٹ اور وفاداری  پھر بھی صرف عمران خان کی ۔انشااللہ,612.0,5199.0,24763.0,9.0,2023-04-19T18:31:54.000Z,Zubair Niazi@ZubairniaziPTI,"Affiliated with PTI since 2009, started as Youth founder. Actively working for Naya Pakistan.",,Insaf.pk,Joined October 2014
"پورے پنجاب سے کوئ بھی
 کنڈیڈیٹ فروخت ھوا تو ورکرز کا قافلہ لیکر اس کو نشان عبرت بنائنگے ھم نے زندگيوں پر کھیل کر میدان مار لیا ہے",272.0,12066.0,35792.0,43.0,2024-02-10T14:07:26.000Z,Zubair Niazi@ZubairniaziPTI,"Affiliated with PTI since 2009, started as Youth founder. Actively working for Naya Pakistan.",,Insaf.pk,Joined October 2014
"پشاور pk 80 ن لیگی امیدوار جعلی جیت سے انکاری
شکست تسلیم کرلی
   اعلئ ظرفی",54.0,4760.0,18396.0,13.0,2024-02-12T09:06:27.000Z,Zubair Niazi@ZubairniaziPTI,"Affiliated with PTI since 2009, started as Youth founder. Actively working for Naya Pakistan.",,Insaf.pk,Joined October 2014
“I will be your shadow and reflection... Just stay by my side forever...”  #CalvinKlein #jennie #jenlisa,12.0,18.0,253.0,28.0,2023-08-04T03:13:41.000Z,Anj@trishamaejane,Follow me on my Instagram @anj_blinks,,,Joined August 2009
Jenlisa only.,4.0,783.0,4502.0,177.0,2024-01-04T02:45:57.000Z,Anj@trishamaejane,Follow me on my Instagram @anj_blinks,,,Joined August 2009
This game has more drama than some of the novelas on Univision #MEXvPAN,5.0,215.0,191.0,,2015-07-23T03:36:01.000Z,JAY ROCHA@jayrochamusic,,,soundcloud.com/jayrochamusic,Joined October 2013
"Years down the line I would like to have my room's wall panelled multiple LED screens to view 2 cricket match, 2 diff , ,  #SuperSunday",4.0,13.0,,,2016-02-14T14:34:09.000Z,Ishu Khurana@khuranaishu,Sports. Music. Stories.,,,Joined June 2009
Is it possible for two friends guy and girl to cuddle and it not be sexual?,1.0,4.0,,,2017-11-14T06:57:12.000Z,idaho logger@idahorednek_51,I'm a 3rd generation logger and proud to call myself a logger. Born and raised in North Idaho,,,Joined September 2010
Tom Brady be like... https://vine.co/v/hUOiOXZBEYO,1.0,1.0,25.0,,2015-05-29T07:22:18.000Z,meg @megsapatsfan12,,,low-keyswiftie.tumblr.com,Joined December 2008
Hi from #Canyonleigh NSW Australia,238.0,177.0,328.0,,2016-02-06T01:53:31.000Z,Lisa Romano@LisaMRomano,"Hobby farmer, graphic artist, music lover, home cook, border collie owner.",,,Joined June 2012
"""What are you doing with yourself?""
Me:",3.0,1.0,28.0,,2018-08-17T20:43:39.000Z,Morgan@mrgn94,,,,Joined August 2009
"Hey so I’d like to announce I’ve started a Substack. I’ve got some review ideas, and I’ll be doing write ups for news that don’t fit the other outlet. I’d love to have some subscribers ready to receive when I start writing.",2.0,1.0,1.0,1.0,2023-03-04T23:54:09.000Z,Scott In His Thirties@DigiRanger1994,He/Him Jew. The hero’s name is Captain Shazam. Pokémon Go: DigiRangerScott 4735 3844 0493 Writer @CultureSlate @whatsonpplus. Trans rights are human rights.,,muckrack.com/scott-sandler-1,Joined April 2009
Language arts teachers probably shoehorned in an entire lesson on on double negatives,19.0,70.0,3259.0,4.0,2019-05-30T06:00:15.000Z,Scott In His Thirties@DigiRanger1994,He/Him Jew. The hero’s name is Captain Shazam. Pokémon Go: DigiRangerScott 4735 3844 0493 Writer @CultureSlate @whatsonpplus. Trans rights are human rights.,,muckrack.com/scott-sandler-1,Joined April 2009
We should change her name to Noselpha Warenis,4.0,24.0,1525.0,9.0,2019-11-11T17:53:35.000Z,Scott In His Thirties@DigiRanger1994,He/Him Jew. The hero’s name is Captain Shazam. Pokémon Go: DigiRangerScott 4735 3844 0493 Writer @CultureSlate @whatsonpplus. Trans rights are human rights.,,muckrack.com/scott-sandler-1,Joined April 2009
It’s also a mement,5.0,7.0,939.0,,2019-03-22T04:09:24.000Z,Scott In His Thirties@DigiRanger1994,He/Him Jew. The hero’s name is Captain Shazam. Pokémon Go: DigiRangerScott 4735 3844 0493 Writer @CultureSlate @whatsonpplus. Trans rights are human rights.,,muckrack.com/scott-sandler-1,Joined April 2009
"Should be clarified: the owners were retiring and didn’t find buyers so they just closed. Financially they were fine, but, well retirement is retirement",8.0,18.0,835.0,11.0,2023-11-19T22:57:46.000Z,Scott In His Thirties@DigiRanger1994,He/Him Jew. The hero’s name is Captain Shazam. Pokémon Go: DigiRangerScott 4735 3844 0493 Writer @CultureSlate @whatsonpplus. Trans rights are human rights.,,muckrack.com/scott-sandler-1,Joined April 2009
"One observation from the past few days - many Iowa fans drastically underestimate the support Jamie Pollard has from the Iowa State fanbase. Particularly in regards to his handling of current events, but on the whole as well.",1.0,7.0,93.0,1.0,2019-09-24T22:29:12.000Z,"Mitch, Pacers Fan@mitchellcline","Dad. Husband. Geologist. Iowa State. Everton. HALIana Pacers.

Nearly everything I post is more for me than you, so my apologies #catharsis",,,Joined August 2009
"Michael Skubala’s reign at Lincoln City Football Club.

A thread of starting 11’s & results",2.0,1.0,729.0,,2023-11-21T21:20:41.000Z,Adam@THEAdamVickery,#DadOfBoys #Imps                                 𝙎𝙢𝙞𝙡𝙚 𝙉𝙤𝙬  𝘾𝙧𝙮 𝙇𝙖𝙩𝙚𝙧,,,Joined February 2009
"https://tr.ee/-LsxKWdX3n

New music , check it out",1.0,332.0,,,2023-05-19T06:15:01.000Z,Rene G.@Reneg23_,PiP // LIFE Segments Streaming On All Platforms //,,linktr.ee/PIPHL,Joined January 2012
Finally it’s here!! My favourite @alo_oficial #beanie @McLarenF1 Have it flaunt it!!  #mclarenfamily #FernandoAlonso #F1 #MerryChritsmas,1.0,1.0,12.0,,2017-12-26T16:14:18.000Z,ABY@abhie_911,"F1 is life!! Live with chivalry, #believeinmclaren #mclarenfamily",,,Joined March 2011
out here w my dawg @GuyFieri,1.0,27.0,109.0,7.0,2022-08-02T19:28:53.000Z,sushi gawd @ANDRESOHYES,,,instagram.com/andresohyes_?i…,Joined July 2010
La Quinta vibes baby,22.0,461.0,1094.0,35.0,2021-05-28T18:54:02.000Z,sushi gawd @ANDRESOHYES,,,instagram.com/andresohyes_?i…,Joined July 2010
He is now saying the Court is being bullied but he neglects the fact that the Court is bullying and possibly killing women.,5.0,24.0,190.0,1.0,2022-05-07T00:52:28.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
This Oklahoman does not stand with Texas,721.0,53.0,177.0,36490.0,2024-01-24T20:46:15.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
"I agree with you and I thought about it this morning when I read about the 11 year old baby who was shot by a cop. Why, why did he shoot this baby? Can he not tell the difference between an adult and a child? Or does he care? We must keep the lines of communication open",3.0,29.0,144.0,3046.0,2023-05-25T23:53:23.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
The truth.,2.0,1.0,139.0,,2022-04-20T23:22:16.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
He is a child...this breaks my heart,4.0,9.0,108.0,,2018-07-23T19:40:56.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
I’d let them “Thelma and Louise” it,1.0,116.0,,,2022-05-06T23:34:01.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
"Andy, thank you for your words. They mean so much to us who continue quarantining, wearing masks and waiting for our vaccinations. Happy 2021",3.0,115.0,,,2021-01-01T00:56:19.000Z,Stacy Vance@StacyV200,wife of 39years & mother of two incredible daughters. She/Her Retired RN & an OSU Cowboy & Thunder fan. #NoH8 #WomensRights #BLM #GetVaccinated #GunSense #Love,,,Joined September 2011
"You beauty, on point!",4.0,,,,2018-11-04T19:22:24.000Z,Erum Khan.@Erum00112,Cultural Ambassador at US department of State. Emporia State University. King Edward Medical university. Allhumdulilah,,,Joined May 2013
burn,1.0,2.0,,,2015-08-02T22:30:04.000Z,#1 laur stan@conftpre,take my love and run,,,Joined April 2014
Ok so I’m trying to make a list to tell everyone i love them and thank them for making life on twitter great but everytime I try add someone and think it works it deletes right after. So I love you all and just wanna day thanks to everyone for being you,13.0,1.0,,,2017-12-30T23:24:10.000Z,Christina@Christina_xox,Missing Delena and trying to adult,,,Joined September 2011
"Follow meeeee! Or don't...... either way, it's your loss.",3.0,4.0,44.0,,2016-05-09T21:45:16.000Z,Scot@theurparanoid,"Christian, Husband, Father.
System Engineer - Content/Data Sharing. 
Proudly American

Played soccer. Damaged body parts.

Light casts out darkness

Be uncommon",,,Joined February 2013
Fresh Turnes and some rando's sunnies for the next two hours jazz on @rdu985fm,127.0,,,,2023-03-18T20:05:58.000Z,amanda.mamaloco@amandamamaloco,"bent broadcaster, loosely playing Jazz, random gardener, fond of flickering images & involved in education. RECORDS https://mixcloud.com/amandapeter3/",,,Joined August 2010
"#MustWatch
Interactie tussen verweesde gorilla's en hun verzorgers, Senkwekwe Center in Virunga National Park, Democratische Republiek Congo.

Dit is de enige faciliteit ter wereld die zorg draagt ​​voor #berggorilla's die het slachtoffer zijn geworden van vallen en stropers.",6.0,911.0,,,2024-04-06T08:51:57.000Z,Armand Vervaeck + TESLA nieuws  @ArmandVervaeck,"Voor VREDE en tegen OORLOG. Wapens doden, handel = welvaart.  @Tesla kopen, gebruik mijn bestelcode : https://tesla.com/nl_be/referral/armand37230…",,,Joined October 2012
"Interaction between orphaned gorillas and their caregivers, Senkwekwe Center in Virunga National Park, Democratic Republic of the Congo.

This is the only facility in the world that cares for mountain gorillas that have been victims of traps and poachers.",120.0,4557.0,3856.0,,2024-04-06T08:13:59.000Z,Armand Vervaeck + TESLA nieuws  @ArmandVervaeck,"Voor VREDE en tegen OORLOG. Wapens doden, handel = welvaart.  @Tesla kopen, gebruik mijn bestelcode : https://tesla.com/nl_be/referral/armand37230…",,,Joined October 2012
IM SO FUCKING HAPPY,1.0,3.0,,,2016-03-05T09:02:07.000Z,justine@skittlehes,get your sweet asses out of those chairs,,,Joined November 2014
"Well, here we are...in a world where right is wrong, up is down, objective truth is considered 'denial of science.'",9.0,33.0,,,2017-04-24T22:55:51.000Z,Nancy Clay@NancyLClay,"Freedom is a law of God, an eternal law. As long as a man stands for freedom, he stands with God.--Ezra Taft Benson",,,Joined March 2009
This is the best thing I've seen in a while. #birthcontrol,17.0,4252.0,7621.0,,2017-03-07T13:42:50.000Z,The Superboy@superboy8500,"Dallas. Marvel, Mariah Carey, drag, dogs, food & music.  Venmo: $20 to Superboy8500 with your Twitter name, for access to alt.",,instagram.com/superboy8500_,Joined September 2009
"Okay, just hear me out…",36.0,548.0,4632.0,19.0,2021-07-13T14:35:37.000Z,The Superboy@superboy8500,"Dallas. Marvel, Mariah Carey, drag, dogs, food & music.  Venmo: $20 to Superboy8500 with your Twitter name, for access to alt.",,instagram.com/superboy8500_,Joined September 2009
Does Twitter block us from posting our new Mastodon accounts? Let's see.,2.0,,,,2022-11-11T22:50:22.000Z,Kevin Seal@Kevin_Seal,organist for the @SanJoseSharks / papa bear for a 13yo / ................... .... ... .. . lead mouth for @SealParty6 / Gen-XAF / i enjoy food,,sealparty.com,Joined June 2008
Getting clowned by Bill Burr,2.0,,,,2021-04-04T20:29:00.000Z,Si@sisyphusishappy,,,,Joined September 2017
- ☆ http://amazingrussett.carrd.co ☆ -,3672.0,,,,2023-05-03T07:28:43.000Z,jenn⁷@amazingrussett,certified yapper & proud hater || fan account,,twitch.tv/andrearussett,Joined June 2021
"Last night at a high school baseball game, I was asked ""So what position does your boy play?""...",2.0,66.0,,,2018-03-14T14:23:18.000Z,Nolan@nolan_smith3,get crazy with the cheeze whiz. Bethel baseball alum. Go Braves •SJG29•,,,Joined May 2012
I put everything thing on Jesus. #KusImChristLike,1.0,,,,2021-12-24T01:44:23.000Z,khristLike4@popitoff_TREDDY,#ImJustVenting IMA FUccKIN BANDOS free #JEREMY BANDOS'S 4s 4 lilB,,,Joined July 2011
self love is powerful,2.0,7.0,,,2019-05-15T19:31:05.000Z,harp ✭@hharrperr,who drivin this bus,,,Joined February 2014
Conrads catching sharks,3.0,11.0,,,2016-07-07T11:59:18.000Z,™@mitchthesquint,jersey,,,Joined January 2014
Look back to learn. Look forward to succeed.,,,,,2022-07-20T23:37:36.000Z,Nat@herrera_natalie,SC: nat_2418,Social Media Influencer,Instagram.com/nat_alie29,Joined November 2014
I'm just a Ted Moseby in a world where no one knows me.,,,,,2019-01-10T07:04:48.000Z,J@Str8outdaforest,"Born in Cali, Raised in B.C.
Only doin' this shit to deal with reality.",,,Joined December 2012
"Never settle for less than what you deserve. You are a queen!
-note to self",1.0,4.0,,,2017-03-12T02:12:37.000Z,Roenne@roennesr,"for someone who doesn't drink coffee often, i get jitters and palpitate a lot.",,,Joined July 2010
